teststandort,modell,alpha,innerer_makro_mae,standardabweichung_innerer_standort_mae
Lorup,Vollstaendig,10.0,0.0442098562565833,0.0087570460588711
Lorup,Vollstaendig,100.0,0.0495980579384116,0.0092326142249302
Ostfriesland,Distanz,0.01,0.0555833921792482,0.0160426913069857
Ostfriesland,Distanz,0.1,0.0550837197039845,0.0153792578660779
Ostfriesland,Distanz,1.0,0.0533177362583338,0.0135196571035932
Ostfriesland,Distanz,10.0,0.0521765194000123,0.0128539484518217
Ostfriesland,Distanz,100.0,0.0520461184416083,0.0127991905173735
Ostfriesland,Wald + Wind,0.01,0.0537748617116061,0.0438306988911714
Ostfriesland,Wald + Wind,0.1,0.0472771726358475,0.0310887702593712
Ostfriesland,Wald + Wind,1.0,0.0404606447085588,0.0145385703381413
Ostfriesland,Wald + Wind,10.0,0.0486106971442809,0.0124374799117707
Ostfriesland,Wald + Wind,100.0,0.0516324078101775,0.0127318051838364
Ostfriesland,Vollstaendig,0.01,0.1110940154400067,0.1837031549281099
Ostfriesland,Vollstaendig,0.1,0.0819821663462175,0.1125121165764706
Ostfriesland,Vollstaendig,1.0,0.0454723555427094,0.0228540075327864
Ostfriesland,Vollstaendig,10.0,0.046964578327567,0.0125907466606966
Ostfriesland,Vollstaendig,100.0,0.051311556203095,0.012704115468966
Paderborn,Distanz,0.01,0.0525389960614987,0.0156393194420047
Paderborn,Distanz,0.1,0.0516114116082553,0.0146626842790978
Paderborn,Distanz,1.0,0.049196263595632,0.0127818819945925
Paderborn,Distanz,10.0,0.0486442241703958,0.0123362311792682
Paderborn,Distanz,100.0,0.0485982763507059,0.0122883290301836
Paderborn,Wald + Wind,0.01,0.0479387179929783,0.0498886444418225
Paderborn,Wald + Wind,0.1,0.0431835928814507,0.0370155384110415
Paderborn,Wald + Wind,1.0,0.0357191503610646,0.0171289004013307
Paderborn,Wald + Wind,10.0,0.0441320408343208,0.0131020255322663
Paderborn,Wald + Wind,100.0,0.0480719976392445,0.0123486652627393
Paderborn,Vollstaendig,0.01,0.1125362243070283,0.2108291834573294
Paderborn,Vollstaendig,0.1,0.0880228553314163,0.1478426188184709
Paderborn,Vollstaendig,1.0,0.0466178561883663,0.038690235265666
Paderborn,Vollstaendig,10.0,0.0421073281156973,0.0135170573578918
Paderborn,Vollstaendig,100.0,0.0475384120962042,0.0124148196722918
Rheda-Beckum,Distanz,0.01,0.0600334334099498,0.0147759103470583
Rheda-Beckum,Distanz,0.1,0.059366122534144,0.0140840524379945
Rheda-Beckum,Distanz,1.0,0.0566653390807762,0.0115305066752659
Rheda-Beckum,Distanz,10.0,0.054839253704618,0.010012115887012
