standort,zielcluster,referenzpaar,referenzcluster,gewichtungsverfahren,referenzgewicht_0_bis_1
Borken-Coesfeld,BC-01,BC-02--BC-04,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-02--BC-04,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-02--BC-04,BC-02,1/d^2,0.9548331916569112
Borken-Coesfeld,BC-01,BC-02--BC-04,BC-04,1/d^2,0.0451668083430887
Borken-Coesfeld,BC-01,BC-02--BC-04,BC-02,Wald + Wind,0.5229455552797709
Borken-Coesfeld,BC-01,BC-02--BC-04,BC-04,Wald + Wind,0.4770544447202289
Borken-Coesfeld,BC-01,BC-02--BC-04,BC-02,Vollstaendig,0.4693858198851888
Borken-Coesfeld,BC-01,BC-02--BC-04,BC-04,Vollstaendig,0.5306141801148112
Borken-Coesfeld,BC-01,BC-02--BC-05,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-02--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-02--BC-05,BC-02,1/d^2,0.932219136193156
Borken-Coesfeld,BC-01,BC-02--BC-05,BC-05,1/d^2,0.0677808638068439
Borken-Coesfeld,BC-01,BC-02--BC-05,BC-02,Wald + Wind,0.472615251167216
Borken-Coesfeld,BC-01,BC-02--BC-05,BC-05,Wald + Wind,0.5273847488327841
Borken-Coesfeld,BC-01,BC-02--BC-05,BC-02,Vollstaendig,0.4561853820465763
Borken-Coesfeld,BC-01,BC-02--BC-05,BC-05,Vollstaendig,0.5438146179534237
Borken-Coesfeld,BC-01,BC-02--BC-06,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-02--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-02--BC-06,BC-02,1/d^2,0.9031057293690408
Borken-Coesfeld,BC-01,BC-02--BC-06,BC-06,1/d^2,0.0968942706309592
Borken-Coesfeld,BC-01,BC-02--BC-06,BC-02,Wald + Wind,0.5498334181480237
Borken-Coesfeld,BC-01,BC-02--BC-06,BC-06,Wald + Wind,0.4501665818519764
Borken-Coesfeld,BC-01,BC-02--BC-06,BC-02,Vollstaendig,0.5032705844263893
Borken-Coesfeld,BC-01,BC-02--BC-06,BC-06,Vollstaendig,0.4967294155736106
Borken-Coesfeld,BC-01,BC-03--BC-04,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-03--BC-04,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-03--BC-04,BC-03,1/d^2,0.4754939146608801
Borken-Coesfeld,BC-01,BC-03--BC-04,BC-04,1/d^2,0.5245060853391199
Borken-Coesfeld,BC-01,BC-03--BC-04,BC-03,Wald + Wind,0.5331422354115014
Borken-Coesfeld,BC-01,BC-03--BC-04,BC-04,Wald + Wind,0.4668577645884985
Borken-Coesfeld,BC-01,BC-03--BC-04,BC-03,Vollstaendig,0.509628665373249
Borken-Coesfeld,BC-01,BC-03--BC-04,BC-04,Vollstaendig,0.4903713346267509
Borken-Coesfeld,BC-01,BC-03--BC-05,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-03--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-03--BC-05,BC-03,1/d^2,0.3709860175229947
Borken-Coesfeld,BC-01,BC-03--BC-05,BC-05,1/d^2,0.6290139824770052
Borken-Coesfeld,BC-01,BC-03--BC-05,BC-03,Wald + Wind,0.482823799671945
Borken-Coesfeld,BC-01,BC-03--BC-05,BC-05,Wald + Wind,0.517176200328055
Borken-Coesfeld,BC-01,BC-03--BC-05,BC-03,Vollstaendig,0.4963551568498897
Borken-Coesfeld,BC-01,BC-03--BC-05,BC-05,Vollstaendig,0.5036448431501104
Borken-Coesfeld,BC-01,BC-03--BC-06,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-03--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-03--BC-06,BC-03,1/d^2,0.2855577523676402
Borken-Coesfeld,BC-01,BC-03--BC-06,BC-06,1/d^2,0.7144422476323598
Borken-Coesfeld,BC-01,BC-03--BC-06,BC-03,Wald + Wind,0.5599390096184154
Borken-Coesfeld,BC-01,BC-03--BC-06,BC-06,Wald + Wind,0.4400609903815846
Borken-Coesfeld,BC-01,BC-03--BC-06,BC-03,Vollstaendig,0.5434431910452353
Borken-Coesfeld,BC-01,BC-03--BC-06,BC-06,Vollstaendig,0.4565568089547646
Borken-Coesfeld,BC-01,BC-04--BC-05,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-04--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-04--BC-05,BC-04,1/d^2,0.3941535141507006
Borken-Coesfeld,BC-01,BC-04--BC-05,BC-05,1/d^2,0.6058464858492995
Borken-Coesfeld,BC-01,BC-04--BC-05,BC-04,Wald + Wind,0.4497958805815751
Borken-Coesfeld,BC-01,BC-04--BC-05,BC-05,Wald + Wind,0.550204119418425
Borken-Coesfeld,BC-01,BC-04--BC-05,BC-04,Vollstaendig,0.4867283545489034
Borken-Coesfeld,BC-01,BC-04--BC-05,BC-05,Vollstaendig,0.5132716454510965
Borken-Coesfeld,BC-01,BC-04--BC-06,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-04--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-04--BC-06,BC-04,1/d^2,0.3059855452026908
Borken-Coesfeld,BC-01,BC-04--BC-06,BC-06,1/d^2,0.6940144547973093
Borken-Coesfeld,BC-01,BC-04--BC-06,BC-04,Wald + Wind,0.5270114082361887
Borken-Coesfeld,BC-01,BC-04--BC-06,BC-06,Wald + Wind,0.4729885917638112
Borken-Coesfeld,BC-01,BC-04--BC-06,BC-04,Vollstaendig,0.533871198955212
Borken-Coesfeld,BC-01,BC-04--BC-06,BC-06,Vollstaendig,0.4661288010447881
Borken-Coesfeld,BC-01,BC-05--BC-06,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-05--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-01,BC-05--BC-06,BC-05,1/d^2,0.4039414982144321
Borken-Coesfeld,BC-01,BC-05--BC-06,BC-06,1/d^2,0.5960585017855679
Borken-Coesfeld,BC-01,BC-05--BC-06,BC-05,Wald + Wind,0.576798944386644
Borken-Coesfeld,BC-01,BC-05--BC-06,BC-06,Wald + Wind,0.4232010556133559
Borken-Coesfeld,BC-01,BC-05--BC-06,BC-05,Vollstaendig,0.5470582287147121
Borken-Coesfeld,BC-01,BC-05--BC-06,BC-06,Vollstaendig,0.452941771285288
Borken-Coesfeld,BC-02,BC-01--BC-03,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-01--BC-03,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-01--BC-03,BC-01,1/d^2,0.9648455031103024
Borken-Coesfeld,BC-02,BC-01--BC-03,BC-03,1/d^2,0.0351544968896975
Borken-Coesfeld,BC-02,BC-01--BC-03,BC-01,Wald + Wind,0.5544931378709648
Borken-Coesfeld,BC-02,BC-01--BC-03,BC-03,Wald + Wind,0.4455068621290352
Borken-Coesfeld,BC-02,BC-01--BC-03,BC-01,Vollstaendig,0.5716635947802003
Borken-Coesfeld,BC-02,BC-01--BC-03,BC-03,Vollstaendig,0.4283364052197995
Borken-Coesfeld,BC-02,BC-01--BC-04,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-01--BC-04,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-01--BC-04,BC-01,1/d^2,0.9604125205337656
Borken-Coesfeld,BC-02,BC-01--BC-04,BC-04,1/d^2,0.0395874794662344
Borken-Coesfeld,BC-02,BC-01--BC-04,BC-01,Wald + Wind,0.5504022730625159
Borken-Coesfeld,BC-02,BC-01--BC-04,BC-04,Wald + Wind,0.4495977269374842
Borken-Coesfeld,BC-02,BC-01--BC-04,BC-01,Vollstaendig,0.5471086833255971
Borken-Coesfeld,BC-02,BC-01--BC-04,BC-04,Vollstaendig,0.4528913166744029
Borken-Coesfeld,BC-02,BC-01--BC-05,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-01--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-01--BC-05,BC-01,1/d^2,0.9424388299245068
Borken-Coesfeld,BC-02,BC-01--BC-05,BC-05,1/d^2,0.0575611700754931
Borken-Coesfeld,BC-02,BC-01--BC-05,BC-01,Wald + Wind,0.4687104878820322
Borken-Coesfeld,BC-02,BC-01--BC-05,BC-05,Wald + Wind,0.5312895121179678
Borken-Coesfeld,BC-02,BC-01--BC-05,BC-01,Vollstaendig,0.4663841877081729
Borken-Coesfeld,BC-02,BC-01--BC-05,BC-05,Vollstaendig,0.5336158122918272
Borken-Coesfeld,BC-02,BC-01--BC-06,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-01--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-01--BC-06,BC-01,1/d^2,0.8892070153861761
Borken-Coesfeld,BC-02,BC-01--BC-06,BC-06,1/d^2,0.1107929846138238
Borken-Coesfeld,BC-02,BC-01--BC-06,BC-01,Wald + Wind,0.6062318278482309
Borken-Coesfeld,BC-02,BC-01--BC-06,BC-06,Wald + Wind,0.393768172151769
Borken-Coesfeld,BC-02,BC-01--BC-06,BC-01,Vollstaendig,0.6039698294458744
Borken-Coesfeld,BC-02,BC-01--BC-06,BC-06,Vollstaendig,0.3960301705541257
Borken-Coesfeld,BC-02,BC-03--BC-04,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-03--BC-04,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-03--BC-04,BC-03,1/d^2,0.4691976962230706
Borken-Coesfeld,BC-02,BC-03--BC-04,BC-04,1/d^2,0.5308023037769294
Borken-Coesfeld,BC-02,BC-03--BC-04,BC-03,Wald + Wind,0.4958636924257643
Borken-Coesfeld,BC-02,BC-03--BC-04,BC-04,Wald + Wind,0.5041363075742358
Borken-Coesfeld,BC-02,BC-03--BC-04,BC-03,Vollstaendig,0.4751089622019582
Borken-Coesfeld,BC-02,BC-03--BC-04,BC-04,Vollstaendig,0.5248910377980418
Borken-Coesfeld,BC-02,BC-03--BC-05,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-03--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-03--BC-05,BC-03,1/d^2,0.3736493333922712
Borken-Coesfeld,BC-02,BC-03--BC-05,BC-05,1/d^2,0.6263506666077289
Borken-Coesfeld,BC-02,BC-03--BC-05,BC-03,Wald + Wind,0.414798446315786
Borken-Coesfeld,BC-02,BC-03--BC-05,BC-05,Wald + Wind,0.5852015536842139
Borken-Coesfeld,BC-02,BC-03--BC-05,BC-03,Vollstaendig,0.3957253955090651
Borken-Coesfeld,BC-02,BC-03--BC-05,BC-05,Vollstaendig,0.6042746044909348
Borken-Coesfeld,BC-02,BC-03--BC-06,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-03--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-03--BC-06,BC-03,1/d^2,0.2262604010131666
Borken-Coesfeld,BC-02,BC-03--BC-06,BC-06,1/d^2,0.7737395989868333
Borken-Coesfeld,BC-02,BC-03--BC-06,BC-03,Wald + Wind,0.5529651305493665
Borken-Coesfeld,BC-02,BC-03--BC-06,BC-06,Wald + Wind,0.4470348694506334
Borken-Coesfeld,BC-02,BC-03--BC-06,BC-03,Vollstaendig,0.5332986478159901
Borken-Coesfeld,BC-02,BC-03--BC-06,BC-06,Vollstaendig,0.4667013521840098
Borken-Coesfeld,BC-02,BC-04--BC-05,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-04--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-04--BC-05,BC-04,1/d^2,0.4029406594342756
Borken-Coesfeld,BC-02,BC-04--BC-05,BC-05,1/d^2,0.5970593405657245
Borken-Coesfeld,BC-02,BC-04--BC-05,BC-04,Wald + Wind,0.4188203165684865
Borken-Coesfeld,BC-02,BC-04--BC-05,BC-05,Wald + Wind,0.5811796834315135
Borken-Coesfeld,BC-02,BC-04--BC-05,BC-04,Vollstaendig,0.4197836259096358
Borken-Coesfeld,BC-02,BC-04--BC-05,BC-05,Vollstaendig,0.5802163740903642
Borken-Coesfeld,BC-02,BC-04--BC-06,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-04--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-04--BC-06,BC-04,1/d^2,0.2485831066009979
Borken-Coesfeld,BC-02,BC-04--BC-06,BC-06,1/d^2,0.7514168933990021
Borken-Coesfeld,BC-02,BC-04--BC-06,BC-04,Wald + Wind,0.5570514427871336
Borken-Coesfeld,BC-02,BC-04--BC-06,BC-06,Wald + Wind,0.4429485572128663
Borken-Coesfeld,BC-02,BC-04--BC-06,BC-04,Vollstaendig,0.557997403828127
Borken-Coesfeld,BC-02,BC-04--BC-06,BC-06,Vollstaendig,0.4420025961718729
Borken-Coesfeld,BC-02,BC-05--BC-06,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-05--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-02,BC-05--BC-06,BC-05,1/d^2,0.3289459595155712
Borken-Coesfeld,BC-02,BC-05--BC-06,BC-06,1/d^2,0.6710540404844287
Borken-Coesfeld,BC-02,BC-05--BC-06,BC-05,Wald + Wind,0.635716879783748
Borken-Coesfeld,BC-02,BC-05--BC-06,BC-06,Wald + Wind,0.3642831202162518
Borken-Coesfeld,BC-02,BC-05--BC-06,BC-05,Vollstaendig,0.6356886973196242
Borken-Coesfeld,BC-02,BC-05--BC-06,BC-06,Vollstaendig,0.3643113026803757
Borken-Coesfeld,BC-03,BC-01--BC-02,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-01--BC-02,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-01--BC-02,BC-01,1/d^2,0.5406446994838304
Borken-Coesfeld,BC-03,BC-01--BC-02,BC-02,1/d^2,0.4593553005161694
Borken-Coesfeld,BC-03,BC-01--BC-02,BC-01,Wald + Wind,0.5605972606955223
Borken-Coesfeld,BC-03,BC-01--BC-02,BC-02,Wald + Wind,0.4394027393044778
Borken-Coesfeld,BC-03,BC-01--BC-02,BC-01,Vollstaendig,0.604789721956133
Borken-Coesfeld,BC-03,BC-01--BC-02,BC-02,Vollstaendig,0.395210278043867
Borken-Coesfeld,BC-03,BC-01--BC-04,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-01--BC-04,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-01--BC-04,BC-01,1/d^2,0.0111182915475061
Borken-Coesfeld,BC-03,BC-01--BC-04,BC-04,1/d^2,0.9888817084524938
Borken-Coesfeld,BC-03,BC-01--BC-04,BC-01,Wald + Wind,0.4330167728710518
Borken-Coesfeld,BC-03,BC-01--BC-04,BC-04,Wald + Wind,0.5669832271289482
Borken-Coesfeld,BC-03,BC-01--BC-04,BC-01,Vollstaendig,0.462850826015692
Borken-Coesfeld,BC-03,BC-01--BC-04,BC-04,Vollstaendig,0.5371491739843081
Borken-Coesfeld,BC-03,BC-01--BC-05,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-01--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-01--BC-05,BC-01,1/d^2,0.0593065976119862
Borken-Coesfeld,BC-03,BC-01--BC-05,BC-05,1/d^2,0.9406934023880138
Borken-Coesfeld,BC-03,BC-01--BC-05,BC-01,Wald + Wind,0.4917747372112991
Borken-Coesfeld,BC-03,BC-01--BC-05,BC-05,Wald + Wind,0.508225262788701
Borken-Coesfeld,BC-03,BC-01--BC-05,BC-01,Vollstaendig,0.5235497593909638
Borken-Coesfeld,BC-03,BC-01--BC-05,BC-05,Vollstaendig,0.4764502406090362
Borken-Coesfeld,BC-03,BC-01--BC-06,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-01--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-01--BC-06,BC-01,1/d^2,0.3079080269456616
Borken-Coesfeld,BC-03,BC-01--BC-06,BC-06,1/d^2,0.6920919730543383
Borken-Coesfeld,BC-03,BC-01--BC-06,BC-01,Wald + Wind,0.4842100492522878
Borken-Coesfeld,BC-03,BC-01--BC-06,BC-06,Wald + Wind,0.5157899507477123
Borken-Coesfeld,BC-03,BC-01--BC-06,BC-01,Vollstaendig,0.4812564191739987
Borken-Coesfeld,BC-03,BC-01--BC-06,BC-06,Vollstaendig,0.5187435808260014
Borken-Coesfeld,BC-03,BC-02--BC-04,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-02--BC-04,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-02--BC-04,BC-02,1/d^2,0.0094624034470977
Borken-Coesfeld,BC-03,BC-02--BC-04,BC-04,1/d^2,0.9905375965529024
Borken-Coesfeld,BC-03,BC-02--BC-04,BC-02,Wald + Wind,0.3744578151275646
Borken-Coesfeld,BC-03,BC-02--BC-04,BC-04,Wald + Wind,0.6255421848724355
Borken-Coesfeld,BC-03,BC-02--BC-04,BC-02,Vollstaendig,0.3602374042446924
Borken-Coesfeld,BC-03,BC-02--BC-04,BC-04,Vollstaendig,0.6397625957553076
Borken-Coesfeld,BC-03,BC-02--BC-05,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-02--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-02--BC-05,BC-02,1/d^2,0.050842842294329
Borken-Coesfeld,BC-03,BC-02--BC-05,BC-05,1/d^2,0.9491571577056708
Borken-Coesfeld,BC-03,BC-02--BC-05,BC-02,Wald + Wind,0.4313144158971398
Borken-Coesfeld,BC-03,BC-02--BC-05,BC-05,Wald + Wind,0.5686855841028602
Borken-Coesfeld,BC-03,BC-02--BC-05,BC-02,Vollstaendig,0.4179501155627153
Borken-Coesfeld,BC-03,BC-02--BC-05,BC-05,Vollstaendig,0.5820498844372847
Borken-Coesfeld,BC-03,BC-02--BC-06,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-02--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-02--BC-06,BC-02,1/d^2,0.2743115948765792
Borken-Coesfeld,BC-03,BC-02--BC-06,BC-06,1/d^2,0.7256884051234208
Borken-Coesfeld,BC-03,BC-02--BC-06,BC-02,Wald + Wind,0.4239040314976706
Borken-Coesfeld,BC-03,BC-02--BC-06,BC-06,Wald + Wind,0.5760959685023294
Borken-Coesfeld,BC-03,BC-02--BC-06,BC-02,Vollstaendig,0.3774296756889001
Borken-Coesfeld,BC-03,BC-02--BC-06,BC-06,Vollstaendig,0.6225703243110998
Borken-Coesfeld,BC-03,BC-04--BC-05,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-04--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-04--BC-05,BC-04,1/d^2,0.8486544382343605
Borken-Coesfeld,BC-03,BC-04--BC-05,BC-05,1/d^2,0.1513455617656394
Borken-Coesfeld,BC-03,BC-04--BC-05,BC-04,Wald + Wind,0.5588877422408665
Borken-Coesfeld,BC-03,BC-04--BC-05,BC-05,Wald + Wind,0.4411122577591335
Borken-Coesfeld,BC-03,BC-04--BC-05,BC-04,Vollstaendig,0.5604872632521021
Borken-Coesfeld,BC-03,BC-04--BC-05,BC-05,Vollstaendig,0.4395127367478978
Borken-Coesfeld,BC-03,BC-04--BC-06,BC-04,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-04--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-04--BC-06,BC-04,1/d^2,0.975351102711528
Borken-Coesfeld,BC-03,BC-04--BC-06,BC-06,1/d^2,0.024648897288472
Borken-Coesfeld,BC-03,BC-04--BC-06,BC-04,Wald + Wind,0.5514107772538559
Borken-Coesfeld,BC-03,BC-04--BC-06,BC-06,Wald + Wind,0.448589222746144
Borken-Coesfeld,BC-03,BC-04--BC-06,BC-04,Vollstaendig,0.5184570002262113
Borken-Coesfeld,BC-03,BC-04--BC-06,BC-06,Vollstaendig,0.4815429997737885
Borken-Coesfeld,BC-03,BC-05--BC-06,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-05--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-03,BC-05--BC-06,BC-05,1/d^2,0.8758798608983562
Borken-Coesfeld,BC-03,BC-05--BC-06,BC-06,1/d^2,0.1241201391016438
Borken-Coesfeld,BC-03,BC-05--BC-06,BC-05,Wald + Wind,0.4924313800977096
Borken-Coesfeld,BC-03,BC-05--BC-06,BC-06,Wald + Wind,0.5075686199022903
Borken-Coesfeld,BC-03,BC-05--BC-06,BC-05,Vollstaendig,0.4577812024434892
Borken-Coesfeld,BC-03,BC-05--BC-06,BC-06,Vollstaendig,0.5422187975565108
Borken-Coesfeld,BC-04,BC-01--BC-02,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-01--BC-02,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-01--BC-02,BC-01,1/d^2,0.534364696147321
Borken-Coesfeld,BC-04,BC-01--BC-02,BC-02,1/d^2,0.465635303852679
Borken-Coesfeld,BC-04,BC-01--BC-02,BC-01,Wald + Wind,0.5257951928116007
Borken-Coesfeld,BC-04,BC-01--BC-02,BC-02,Wald + Wind,0.4742048071883993
Borken-Coesfeld,BC-04,BC-01--BC-02,BC-01,Vollstaendig,0.5798301092930089
Borken-Coesfeld,BC-04,BC-01--BC-02,BC-02,Vollstaendig,0.4201698907069911
Borken-Coesfeld,BC-04,BC-01--BC-03,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-01--BC-03,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-01--BC-03,BC-01,1/d^2,0.0122502850786449
Borken-Coesfeld,BC-04,BC-01--BC-03,BC-03,1/d^2,0.9877497149213552
Borken-Coesfeld,BC-04,BC-01--BC-03,BC-01,Wald + Wind,0.3919153254959749
Borken-Coesfeld,BC-04,BC-01--BC-03,BC-03,Wald + Wind,0.6080846745040251
Borken-Coesfeld,BC-04,BC-01--BC-03,BC-01,Vollstaendig,0.4478257879213108
Borken-Coesfeld,BC-04,BC-01--BC-03,BC-03,Vollstaendig,0.5521742120786891
Borken-Coesfeld,BC-04,BC-01--BC-05,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-01--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-01--BC-05,BC-01,1/d^2,0.0361779419625364
Borken-Coesfeld,BC-04,BC-01--BC-05,BC-05,1/d^2,0.9638220580374636
Borken-Coesfeld,BC-04,BC-01--BC-05,BC-01,Wald + Wind,0.4732211064111442
Borken-Coesfeld,BC-04,BC-01--BC-05,BC-05,Wald + Wind,0.5267788935888559
Borken-Coesfeld,BC-04,BC-01--BC-05,BC-01,Vollstaendig,0.511224313672538
Borken-Coesfeld,BC-04,BC-01--BC-05,BC-05,Vollstaendig,0.4887756863274619
Borken-Coesfeld,BC-04,BC-01--BC-06,BC-01,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-01--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-01--BC-06,BC-01,1/d^2,0.2638871557457927
Borken-Coesfeld,BC-04,BC-01--BC-06,BC-06,1/d^2,0.7361128442542073
Borken-Coesfeld,BC-04,BC-01--BC-06,BC-01,Wald + Wind,0.489828092743419
Borken-Coesfeld,BC-04,BC-01--BC-06,BC-06,Wald + Wind,0.510171907256581
Borken-Coesfeld,BC-04,BC-01--BC-06,BC-01,Vollstaendig,0.5318648113661221
Borken-Coesfeld,BC-04,BC-01--BC-06,BC-06,Vollstaendig,0.4681351886338779
Borken-Coesfeld,BC-04,BC-02--BC-03,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-02--BC-03,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-02--BC-03,BC-02,1/d^2,0.0106915127907318
Borken-Coesfeld,BC-04,BC-02--BC-03,BC-03,1/d^2,0.9893084872092682
Borken-Coesfeld,BC-04,BC-02--BC-03,BC-02,Wald + Wind,0.3675967284040253
Borken-Coesfeld,BC-04,BC-02--BC-03,BC-03,Wald + Wind,0.6324032715959746
Borken-Coesfeld,BC-04,BC-02--BC-03,BC-02,Vollstaendig,0.3701588697983476
Borken-Coesfeld,BC-04,BC-02--BC-03,BC-03,Vollstaendig,0.6298411302016523
Borken-Coesfeld,BC-04,BC-02--BC-05,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-02--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-02--BC-05,BC-02,1/d^2,0.0316721511416639
Borken-Coesfeld,BC-04,BC-02--BC-05,BC-05,1/d^2,0.968327848858336
Borken-Coesfeld,BC-04,BC-02--BC-05,BC-02,Wald + Wind,0.4475707790442247
Borken-Coesfeld,BC-04,BC-02--BC-05,BC-05,Wald + Wind,0.5524292209557752
Borken-Coesfeld,BC-04,BC-02--BC-05,BC-02,Vollstaendig,0.4311474262380133
Borken-Coesfeld,BC-04,BC-02--BC-05,BC-05,Vollstaendig,0.5688525737619867
Borken-Coesfeld,BC-04,BC-02--BC-06,BC-02,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-02--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-02--BC-06,BC-02,1/d^2,0.238025061763708
Borken-Coesfeld,BC-04,BC-02--BC-06,BC-06,1/d^2,0.7619749382362919
Borken-Coesfeld,BC-04,BC-02--BC-06,BC-02,Wald + Wind,0.4640706094524919
Borken-Coesfeld,BC-04,BC-02--BC-06,BC-06,Wald + Wind,0.5359293905475081
Borken-Coesfeld,BC-04,BC-02--BC-06,BC-02,Vollstaendig,0.4515416340566511
Borken-Coesfeld,BC-04,BC-02--BC-06,BC-06,Vollstaendig,0.5484583659433487
Borken-Coesfeld,BC-04,BC-03--BC-05,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-03--BC-05,BC-05,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-03--BC-05,BC-03,1/d^2,0.7516483737626064
Borken-Coesfeld,BC-04,BC-03--BC-05,BC-05,1/d^2,0.2483516262373934
Borken-Coesfeld,BC-04,BC-03--BC-05,BC-03,Wald + Wind,0.5822581286763984
Borken-Coesfeld,BC-04,BC-03--BC-05,BC-05,Wald + Wind,0.4177418713236015
Borken-Coesfeld,BC-04,BC-03--BC-05,BC-03,Vollstaendig,0.5632503631109842
Borken-Coesfeld,BC-04,BC-03--BC-05,BC-05,Vollstaendig,0.4367496368890157
Borken-Coesfeld,BC-04,BC-03--BC-06,BC-03,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-03--BC-06,BC-06,Gleichgewichtung,0.5
Borken-Coesfeld,BC-04,BC-03--BC-06,BC-03,1/d^2,0.9665608948971568
