standort,zielcluster,referenzpaar,referenzcluster,gewichtungsverfahren,referenzgewicht_0_bis_1
Alpen-Sevelen,AS-01,AS-04--AS-05,AS-05,1/d^2,0.4965534836388064
Alpen-Sevelen,AS-01,AS-04--AS-05,AS-04,Wald + Wind,0.5388949109675167
Alpen-Sevelen,AS-01,AS-04--AS-05,AS-05,Wald + Wind,0.4611050890324832
Alpen-Sevelen,AS-01,AS-04--AS-05,AS-04,Vollstaendig,0.5522001747111539
Alpen-Sevelen,AS-01,AS-04--AS-05,AS-05,Vollstaendig,0.4477998252888461
Alpen-Sevelen,AS-01,AS-04--AS-06,AS-04,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-04--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-04--AS-06,AS-04,1/d^2,0.5501320592804619
Alpen-Sevelen,AS-01,AS-04--AS-06,AS-06,1/d^2,0.449867940719538
Alpen-Sevelen,AS-01,AS-04--AS-06,AS-04,Wald + Wind,0.5177788854652138
Alpen-Sevelen,AS-01,AS-04--AS-06,AS-06,Wald + Wind,0.4822211145347862
Alpen-Sevelen,AS-01,AS-04--AS-06,AS-04,Vollstaendig,0.5246708885554131
Alpen-Sevelen,AS-01,AS-04--AS-06,AS-06,Vollstaendig,0.4753291114445868
Alpen-Sevelen,AS-01,AS-05--AS-06,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-05--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-01,AS-05--AS-06,AS-05,1/d^2,0.5467178307263093
Alpen-Sevelen,AS-01,AS-05--AS-06,AS-06,1/d^2,0.4532821692736908
Alpen-Sevelen,AS-01,AS-05--AS-06,AS-05,Wald + Wind,0.4788254048758288
Alpen-Sevelen,AS-01,AS-05--AS-06,AS-06,Wald + Wind,0.5211745951241711
Alpen-Sevelen,AS-01,AS-05--AS-06,AS-05,Vollstaendig,0.4723281679699179
Alpen-Sevelen,AS-01,AS-05--AS-06,AS-06,Vollstaendig,0.527671832030082
Alpen-Sevelen,AS-02,AS-01--AS-03,AS-01,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-01--AS-03,AS-03,Gleichgewichtung,0.5
Alpen-Sevelen,AS-02,AS-01--AS-03,AS-01,1/d^2,0.9021603703514248
Alpen-Sevelen,AS-02,AS-01--AS-03,AS-03,1/d^2,0.0978396296485752
Alpen-Sevelen,AS-02,AS-01--AS-03,AS-01,Wald + Wind,0.5136277829820342
