modell,teststandort,alpha,mae_direkte_fehlerprognose
RIX + Gelaendehoehe + Rauigkeit + Wald,Altenmellrich,1.0,0.049772510567822
RIX + Gelaendehoehe + Rauigkeit + Wald,Bad Berleburg,0.1,0.2706398902327727
RIX + Gelaendehoehe + Rauigkeit + Wald,Borken-Coesfeld,1.0,0.0300435348181553
RIX + Gelaendehoehe + Rauigkeit + Wald,Lorup,1.0,0.0581635975925801
RIX + Gelaendehoehe + Rauigkeit + Wald,Ostfriesland,1.0,0.0252320018153086
RIX + Gelaendehoehe + Rauigkeit + Wald,Paderborn,10.0,0.0509214110786051
RIX + Gelaendehoehe + Rauigkeit + Wald,Rheda-Beckum,1.0,0.0239834544676293
RIX + Gelaendehoehe + Rauigkeit + Wind,Alpen-Sevelen,1.0,0.019628121229779
RIX + Gelaendehoehe + Rauigkeit + Wind,Altenmellrich,1.0,0.0533956261847949
RIX + Gelaendehoehe + Rauigkeit + Wind,Bad Berleburg,0.1,0.3109578562395184
RIX + Gelaendehoehe + Rauigkeit + Wind,Borken-Coesfeld,1.0,0.0256213981357557
RIX + Gelaendehoehe + Rauigkeit + Wind,Lorup,1.0,0.039721804262529
RIX + Gelaendehoehe + Rauigkeit + Wind,Ostfriesland,1.0,0.0252974383510202
RIX + Gelaendehoehe + Rauigkeit + Wind,Paderborn,10.0,0.0503874294742234
RIX + Gelaendehoehe + Rauigkeit + Wind,Rheda-Beckum,1.0,0.0217386798647793
RIX + Gelaendehoehe + Wald + Wind,Alpen-Sevelen,1.0,0.0197762891509515
RIX + Gelaendehoehe + Wald + Wind,Altenmellrich,1.0,0.0510971238547867
RIX + Gelaendehoehe + Wald + Wind,Bad Berleburg,1.0,0.0768901209498445
RIX + Gelaendehoehe + Wald + Wind,Borken-Coesfeld,1.0,0.024615526499255
RIX + Gelaendehoehe + Wald + Wind,Lorup,1.0,0.0450125860933798
RIX + Gelaendehoehe + Wald + Wind,Ostfriesland,1.0,0.0231322334994048
RIX + Gelaendehoehe + Wald + Wind,Paderborn,10.0,0.0500132554782826
RIX + Gelaendehoehe + Wald + Wind,Rheda-Beckum,1.0,0.02102104042733
RIX + Rauigkeit + Wald + Wind,Alpen-Sevelen,1.0,0.0199427986448675
RIX + Rauigkeit + Wald + Wind,Altenmellrich,1.0,0.0513690398883284
RIX + Rauigkeit + Wald + Wind,Bad Berleburg,1.0,0.0853019097637429
RIX + Rauigkeit + Wald + Wind,Borken-Coesfeld,1.0,0.0238171470045042
RIX + Rauigkeit + Wald + Wind,Lorup,1.0,0.0484108386150943
RIX + Rauigkeit + Wald + Wind,Ostfriesland,1.0,0.0242474829775099
RIX + Rauigkeit + Wald + Wind,Paderborn,10.0,0.0499472076376339
RIX + Rauigkeit + Wald + Wind,Rheda-Beckum,1.0,0.0197698205560937
Gelaendehoehe + Rauigkeit + Wald + Wind,Alpen-Sevelen,1.0,0.020006479691734
Gelaendehoehe + Rauigkeit + Wald + Wind,Altenmellrich,1.0,0.0512275592096059
Gelaendehoehe + Rauigkeit + Wald + Wind,Bad Berleburg,0.1,0.1188842111372061
Gelaendehoehe + Rauigkeit + Wald + Wind,Borken-Coesfeld,1.0,0.0289225722511142
Gelaendehoehe + Rauigkeit + Wald + Wind,Lorup,1.0,0.0519280573015422
Gelaendehoehe + Rauigkeit + Wald + Wind,Ostfriesland,1.0,0.0260500703967899
Gelaendehoehe + Rauigkeit + Wald + Wind,Paderborn,1.0,0.0546225854166942
Gelaendehoehe + Rauigkeit + Wald + Wind,Rheda-Beckum,1.0,0.0208076045542845
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,Alpen-Sevelen,1.0,0.0216690908294643
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,Altenmellrich,1.0,0.0524853219632371
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,Bad Berleburg,1.0,0.0725887973799831
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,Borken-Coesfeld,1.0,0.0303745267916205
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,Lorup,1.0,0.0597421735571637
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,Ostfriesland,1.0,0.0317595304975817
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,Paderborn,10.0,0.0511459605071666
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wald,Rheda-Beckum,1.0,0.024126169550394
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wind,Alpen-Sevelen,1.0,0.0196578459750937
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wind,Altenmellrich,1.0,0.0559670247080269
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wind,Bad Berleburg,1.0,0.0913744240808924
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wind,Borken-Coesfeld,1.0,0.025837271431721
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wind,Lorup,1.0,0.0412473836835169
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wind,Ostfriesland,1.0,0.0307743614744509
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wind,Paderborn,10.0,0.0505840324133726
Distanz + RIX + Gelaendehoehe + Rauigkeit + Wind,Rheda-Beckum,1.0,0.0221506675628363
Distanz + RIX + Gelaendehoehe + Wald + Wind,Alpen-Sevelen,1.0,0.0198101085842311
Distanz + RIX + Gelaendehoehe + Wald + Wind,Altenmellrich,1.0,0.0537182435715467
Distanz + RIX + Gelaendehoehe + Wald + Wind,Bad Berleburg,1.0,0.0763141734513655
Distanz + RIX + Gelaendehoehe + Wald + Wind,Borken-Coesfeld,1.0,0.0248440161713285
Distanz + RIX + Gelaendehoehe + Wald + Wind,Lorup,1.0,0.0461536296961447
Distanz + RIX + Gelaendehoehe + Wald + Wind,Ostfriesland,1.0,0.0275722689858164
Distanz + RIX + Gelaendehoehe + Wald + Wind,Paderborn,10.0,0.0502098016802032
Distanz + RIX + Gelaendehoehe + Wald + Wind,Rheda-Beckum,1.0,0.0213477888496892
Distanz + RIX + Rauigkeit + Wald + Wind,Alpen-Sevelen,1.0,0.019990751927851
Distanz + RIX + Rauigkeit + Wald + Wind,Altenmellrich,1.0,0.054009531909575
Distanz + RIX + Rauigkeit + Wald + Wind,Bad Berleburg,1.0,0.0847666918006378
Distanz + RIX + Rauigkeit + Wald + Wind,Borken-Coesfeld,1.0,0.023941739222626
Distanz + RIX + Rauigkeit + Wald + Wind,Lorup,1.0,0.0501147001697297
Distanz + RIX + Rauigkeit + Wald + Wind,Ostfriesland,1.0,0.0282946441222885
Distanz + RIX + Rauigkeit + Wald + Wind,Paderborn,10.0,0.050179426363517
Distanz + RIX + Rauigkeit + Wald + Wind,Rheda-Beckum,1.0,0.0201319848848518
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,Alpen-Sevelen,1.0,0.0203151072420462
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,Altenmellrich,1.0,0.0523061099322916
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,Bad Berleburg,1.0,0.0544818267738901
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,Borken-Coesfeld,1.0,0.0286811147935859
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,Lorup,1.0,0.054155898330291
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,Ostfriesland,1.0,0.0294156578567665
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,Paderborn,1.0,0.054395136734842
Distanz + Gelaendehoehe + Rauigkeit + Wald + Wind,Rheda-Beckum,1.0,0.0217225997207195
RIX + Gelaendehoehe + Rauigkeit + Wald + Wind,Alpen-Sevelen,1.0,0.0198707180971166
RIX + Gelaendehoehe + Rauigkeit + Wald + Wind,Altenmellrich,1.0,0.0508329675857759
RIX + Gelaendehoehe + Rauigkeit + Wald + Wind,Bad Berleburg,0.1,0.2862290505770046
RIX + Gelaendehoehe + Rauigkeit + Wald + Wind,Borken-Coesfeld,1.0,0.0239781965630149
RIX + Gelaendehoehe + Rauigkeit + Wald + Wind,Lorup,1.0,0.0462277000271343
RIX + Gelaendehoehe + Rauigkeit + Wald + Wind,Ostfriesland,1.0,0.0230212558029766
RIX + Gelaendehoehe + Rauigkeit + Wald + Wind,Paderborn,10.0,0.0499324140523629
RIX + Gelaendehoehe + Rauigkeit + Wald + Wind,Rheda-Beckum,1.0,0.0210517886007376
Vollstaendig,Alpen-Sevelen,1.0,0.0198493038767496
Vollstaendig,Altenmellrich,1.0,0.0534922848449245
Vollstaendig,Bad Berleburg,1.0,0.0851608936115775
Vollstaendig,Borken-Coesfeld,1.0,0.0241889315275608
Vollstaendig,Lorup,1.0,0.0477285688737847
Vollstaendig,Ostfriesland,1.0,0.0272715875479024
Vollstaendig,Paderborn,10.0,0.0501080007241164
Vollstaendig,Rheda-Beckum,1.0,0.0213407968555044
