modell,merkmalsgewichtung,aoa_grenzverfahren,anzahl_paare_innerhalb_aoa,standortmittel_aoa_anteil_0_bis_1,anzahl_standorte_mit_aoa_ausschluss,makro_mae_ausserhalb_aoa,makro_mae_innerhalb_aoa,spearman_rho_di_prognoseabweichung_gepoolt,spearman_rho_di_prognoseabweichung_standortmittel
Wald + Wind,Koeffizientenbetraege,Quantil_95,127,0.9715909090909092,1,0.0582437373751033,0.0369191634178329,0.3142661952970613,0.0943784138746825
Wald + Wind,Koeffizientenbetraege,Oberer_Whisker,121,0.9602272727272728,1,0.0590673245217992,0.0367253736190666,0.2777441318046652,0.0943784138746825
Wald + Wind,Gleichgewichtung,Quantil_95,126,0.9696969696969696,1,0.0590295605958199,0.0368658684067229,0.3209050464069943,0.0531617480777928
Wald + Wind,Gleichgewichtung,Oberer_Whisker,123,0.9640151515151516,1,0.0604086868835081,0.0367167342361577,0.2959381044487427,0.0531617480777928
Vollstaendig,Koeffizientenbetraege,Quantil_95,131,0.9751082251082251,2,0.1330056160650924,0.0402233823218255,0.393190567299048,0.3707660498705274
Vollstaendig,Koeffizientenbetraege,Oberer_Whisker,132,0.9770021645021644,2,0.1353853864416936,0.0401458513939036,0.3878677510682305,0.3707660498705274
Vollstaendig,Gleichgewichtung,Quantil_95,121,0.9561688311688312,2,0.1340231319014536,0.0399094739796553,0.3582192455431892,0.2518969680816696
Vollstaendig,Gleichgewichtung,Oberer_Whisker,123,0.95995670995671,2,0.1363857067709347,0.0397506287421857,0.3610441102200167,0.2518969680816696
