standort,zielcluster,referenzpaar,gewichtungsverfahren,log_transferfehler_kombiniert
Alpen-Sevelen,AS-02,AS-03--AS-06,Gleichgewichtung,0.0631823208674404
Alpen-Sevelen,AS-02,AS-03--AS-06,1/d^2,0.0638986685644405
Alpen-Sevelen,AS-02,AS-03--AS-06,Wald + Wind,0.0641184331740126
Alpen-Sevelen,AS-02,AS-03--AS-06,Vollstaendig,0.0637623542784949
Alpen-Sevelen,AS-02,AS-04--AS-05,Gleichgewichtung,0.0473174844188884
Alpen-Sevelen,AS-02,AS-04--AS-05,1/d^2,0.0485931509788094
Alpen-Sevelen,AS-02,AS-04--AS-05,Wald + Wind,0.0460445408875397
Alpen-Sevelen,AS-02,AS-04--AS-05,Vollstaendig,0.0462252866917596
Alpen-Sevelen,AS-02,AS-04--AS-06,Gleichgewichtung,0.0485303974459491
Alpen-Sevelen,AS-02,AS-04--AS-06,1/d^2,0.0479738272864926
Alpen-Sevelen,AS-02,AS-04--AS-06,Wald + Wind,0.0487142444325583
Alpen-Sevelen,AS-02,AS-04--AS-06,Vollstaendig,0.0488538801384777
Alpen-Sevelen,AS-02,AS-05--AS-06,Gleichgewichtung,0.0694223076733694
Alpen-Sevelen,AS-02,AS-05--AS-06,1/d^2,0.069321176393324
Alpen-Sevelen,AS-02,AS-05--AS-06,Wald + Wind,0.0695034872166101
Alpen-Sevelen,AS-02,AS-05--AS-06,Vollstaendig,0.0695007571776284
Alpen-Sevelen,AS-03,AS-01--AS-02,Gleichgewichtung,-0.0556316934997647
Alpen-Sevelen,AS-03,AS-01--AS-02,1/d^2,-0.0556111146599767
Alpen-Sevelen,AS-03,AS-01--AS-02,Wald + Wind,-0.055627328745358
Alpen-Sevelen,AS-03,AS-01--AS-02,Vollstaendig,-0.0556278838734228
Alpen-Sevelen,AS-03,AS-01--AS-04,Gleichgewichtung,-0.0425715896974724
Alpen-Sevelen,AS-03,AS-01--AS-04,1/d^2,-0.030478609490817
Alpen-Sevelen,AS-03,AS-01--AS-04,Wald + Wind,-0.0406690866829204
Alpen-Sevelen,AS-03,AS-01--AS-04,Vollstaendig,-0.0410630531632551
Alpen-Sevelen,AS-03,AS-01--AS-05,Gleichgewichtung,-0.0209349115083606
Alpen-Sevelen,AS-03,AS-01--AS-05,1/d^2,0.0040479341056636
Alpen-Sevelen,AS-03,AS-01--AS-05,Wald + Wind,-0.0199365212193652
Alpen-Sevelen,AS-03,AS-01--AS-05,Vollstaendig,-0.0208664771028066
Alpen-Sevelen,AS-03,AS-01--AS-06,Gleichgewichtung,-0.0197066874052748
Alpen-Sevelen,AS-03,AS-01--AS-06,1/d^2,0.0086126557813325
Alpen-Sevelen,AS-03,AS-01--AS-06,Wald + Wind,-0.0160752480875518
Alpen-Sevelen,AS-03,AS-01--AS-06,Vollstaendig,-0.0171640976677035
Alpen-Sevelen,AS-03,AS-02--AS-04,Gleichgewichtung,-0.0426393633184889
Alpen-Sevelen,AS-03,AS-02--AS-04,1/d^2,-0.0301484030964665
Alpen-Sevelen,AS-03,AS-02--AS-04,Wald + Wind,-0.0399291782295098
Alpen-Sevelen,AS-03,AS-02--AS-04,Vollstaendig,-0.0404185940280345
Alpen-Sevelen,AS-03,AS-02--AS-05,Gleichgewichtung,-0.0210012344354139
Alpen-Sevelen,AS-03,AS-02--AS-05,1/d^2,0.0076733823832301
Alpen-Sevelen,AS-03,AS-02--AS-05,Wald + Wind,-0.0178432799637763
Alpen-Sevelen,AS-03,AS-02--AS-05,Vollstaendig,-0.0190425816283988
Alpen-Sevelen,AS-03,AS-02--AS-06,Gleichgewichtung,-0.019772928920219
Alpen-Sevelen,AS-03,AS-02--AS-06,1/d^2,0.0113637476785985
Alpen-Sevelen,AS-03,AS-02--AS-06,Wald + Wind,-0.0139399435250208
Alpen-Sevelen,AS-03,AS-02--AS-06,Vollstaendig,-0.0152922080177661
