gewichtungsverfahren,quellunsicherheit_beruecksichtigt,makro_mae_kombinierter_logfehler,makro_rmse_kombinierter_logfehler,mittlere_effektive_referenzanzahl,mittleres_groesstes_referenzgewicht
Wald + Wind,nein,0.0423454219401471,0.0484195948102437,4.403447199085512,0.3286230895578811
Vollstaendig,nein,0.0438330947313601,0.0503385469057278,4.635652886666903,0.3238988686572009
Wald + Wind,ja,0.0425940206464457,0.0490568745726511,4.451914811594543,0.3285791925501925
Vollstaendig,ja,0.0438068037583325,0.0507450811559331,4.657211053156054,0.3247608650119947
