transferauswahl,modell,standort,mae_direkte_fehlerprognose,rmse_direkte_fehlerprognose,spearman_rho_fehlerprognose,beobachtetes_rms_logfehlerniveau,prognostiziertes_rms_logfehlerniveau
Alle_Transfers,Konstant,Alpen-Sevelen,0.0426747031724669,0.0491024449774588,,0.0460626168079847,0.0818134928228002
Alle_Transfers,Konstant,Altenmellrich,0.0536132813314203,0.0699696915578969,,0.1226911089758994,0.0655731714538701
Alle_Transfers,Konstant,Bad Berleburg,0.0436598438231357,0.0536726516839801,,0.1009603262577071,0.074452064482292
Alle_Transfers,Konstant,Borken-Coesfeld,0.0528290286170746,0.0561360344969452,,0.035369778702481,0.082673176134535
Alle_Transfers,Konstant,Lorup,0.0697581509141693,0.0699363538555178,,0.0146937380165598,0.0835788587563571
Alle_Transfers,Konstant,Ostfriesland,0.0575418194072445,0.0598300070960438,,0.030409651561476,0.0831577937137914
Alle_Transfers,Konstant,Paderborn,0.0516874017880189,0.0630699867266441,,0.108717583552438,0.0737631224218017
Alle_Transfers,Konstant,Rheda-Beckum,0.0320073124570106,0.0376784471787374,,0.0631849815194657,0.0800182811425265
Alle_Transfers,Distanz,Alpen-Sevelen,0.0426771552923811,0.0491081194746064,-0.5964285714285714,0.0460626168079847,0.081815945717887
Alle_Transfers,Distanz,Altenmellrich,0.0536500435324798,0.0699993583254666,0.0285714285714285,0.1226911089758994,0.0655273795589552
Alle_Transfers,Distanz,Bad Berleburg,0.0436600043239463,0.0536727047662202,0.4545454545454545,0.1009603262577071,0.0744492890748752
Alle_Transfers,Distanz,Borken-Coesfeld,0.052834883657226,0.0561392879328256,0.4392857142857143,0.035369778702481,0.0826790318788972
Alle_Transfers,Distanz,Lorup,0.0697896203540726,0.0699678003145242,-0.5000000000000001,0.0146937380165598,0.0836103282228656
Alle_Transfers,Distanz,Ostfriesland,0.0576911215437653,0.0599919950776164,-0.6000000000000001,0.030409651561476,0.0833072212290561
Alle_Transfers,Distanz,Paderborn,0.0517162398744299,0.0631113210788485,-0.4067007619246425,0.108717583552438,0.0737232034922668
Alle_Transfers,Distanz,Rheda-Beckum,0.0320187450475207,0.0376933165558504,-0.6727272727272728,0.0631849815194657,0.0800193237664498
Alle_Transfers,Wald + Wind,Alpen-Sevelen,0.0205278318520889,0.0268578232786409,0.4249999999999999,0.0460626168079847,0.0542476192701487
Alle_Transfers,Wald + Wind,Altenmellrich,0.0519428059113134,0.0645119256370636,0.4285714285714286,0.1226911089758994,0.0676785860898205
Alle_Transfers,Wald + Wind,Bad Berleburg,0.0466005672604867,0.0586091911083062,0.0116883116883116,0.1009603262577071,0.0994686277291576
Alle_Transfers,Wald + Wind,Borken-Coesfeld,0.0280585993516361,0.0342527161312152,-0.1321428571428571,0.035369778702481,0.0580270869088955
Alle_Transfers,Wald + Wind,Lorup,0.0518340234209268,0.0527831423848046,-1.0,0.0146937380165598,0.0658883045694868
Alle_Transfers,Wald + Wind,Ostfriesland,0.0272037782318453,0.0334178721052508,-0.4285714285714286,0.030409651561476,0.0529963965080841
Alle_Transfers,Wald + Wind,Paderborn,0.0514863664881365,0.060073355023706,0.2882580106460704,0.108717583552438,0.1040987246508451
Alle_Transfers,Wald + Wind,Rheda-Beckum,0.0196867968518084,0.0236209752534126,0.5636363636363637,0.0631849815194657,0.0562047910712909
Alle_Transfers,Vollstaendig,Alpen-Sevelen,0.0198493038767496,0.0240874162624262,0.3999999999999999,0.0460626168079847,0.0481186711919728
Alle_Transfers,Vollstaendig,Altenmellrich,0.0534922848449244,0.0664316075335782,0.4285714285714286,0.1226911089758994,0.0658752675163455
Alle_Transfers,Vollstaendig,Bad Berleburg,0.0851608936115775,0.1026879452103497,-0.1675324675324675,0.1009603262577071,0.1629826220068697
Alle_Transfers,Vollstaendig,Borken-Coesfeld,0.0241889315275608,0.030368457688246,-0.1714285714285714,0.035369778702481,0.0529256573356187
Alle_Transfers,Vollstaendig,Lorup,0.0477285688737847,0.0487430624359989,-1.0,0.0146937380165598,0.061789972963151
Alle_Transfers,Vollstaendig,Ostfriesland,0.0272715875479024,0.0342615180177617,-0.7142857142857143,0.030409651561476,0.0529259593888753
Alle_Transfers,Vollstaendig,Paderborn,0.0501080007241164,0.0608351452914166,0.153073791879762,0.108717583552438,0.0797940246527403
Alle_Transfers,Vollstaendig,Rheda-Beckum,0.0213407968555044,0.0275581849716367,0.503030303030303,0.0631849815194657,0.0481787048753
TR6_konform,Konstant,Alpen-Sevelen,0.057519178241963,0.0605288387862148,,0.0307489541306618,0.0818134928228002
TR6_konform,Konstant,Altenmellrich,0.0378522685034153,0.0486619526999241,,0.1011118277512859,0.0655731714538701
TR6_konform,Konstant,Bad Berleburg,0.0342094159773841,0.041886611392238,,0.0590171558030933,0.074452064482292
TR6_konform,Konstant,Borken-Coesfeld,0.0670046768634405,0.0702384166248615,,0.0262547199147475,0.082673176134535
TR6_konform,Konstant,Lorup,0.0697581509141693,0.0699363538555178,,0.0146937380165598,0.0835788587563571
TR6_konform,Konstant,Ostfriesland,0.0422256440473146,0.0422256440473146,,0.0409321496664768,0.0831577937137914
TR6_konform,Konstant,Paderborn,0.0379872408815249,0.0421372276428083,,0.0726000421396732,0.0737631224218017
TR6_konform,Konstant,Rheda-Beckum,0.0508511258514896,0.0516259120349394,,0.0304978809238728,0.0800182811425265
TR6_konform,Distanz,Alpen-Sevelen,0.0575301795031094,0.0605397635472925,0.0495049504950495,0.0307489541306618,0.0818244943475013
TR6_konform,Distanz,Altenmellrich,0.0378919296037752,0.0487010163701475,-0.6999999999999998,0.1011118277512859,0.0655226737073946
TR6_konform,Distanz,Bad Berleburg,0.0342075245486352,0.0418841066451172,0.1428571428571428,0.0590171558030933,0.0744480161596376
TR6_konform,Distanz,Borken-Coesfeld,0.0669974573850171,0.0702305299785076,0.2,0.0262547199147475,0.0826659567420402
TR6_konform,Distanz,Lorup,0.0697896203540726,0.0699678003145242,-0.5000000000000001,0.0146937380165598,0.0836103282228656
TR6_konform,Distanz,Ostfriesland,0.042137640211889,0.042137640211889,,0.0409321496664768,0.0830697898783658
TR6_konform,Distanz,Paderborn,0.037998446358443,0.0421475180133902,0.0411764705882353,0.0726000421396732,0.0737969606817737
TR6_konform,Distanz,Rheda-Beckum,0.0508820816707129,0.0516565929590248,-0.8,0.0304978809238728,0.0800492369765858
TR6_konform,Wald + Wind,Alpen-Sevelen,0.0276402222295321,0.0334777728301212,-0.1089108910891089,0.0307489541306618,0.0514841988213456
TR6_konform,Wald + Wind,Altenmellrich,0.0403183069680258,0.0507077132084159,0.0,0.1011118277512859,0.0628511361524952
TR6_konform,Wald + Wind,Bad Berleburg,0.043197529814061,0.058704105155267,-0.5,0.0590171558030933,0.0884468606628581
TR6_konform,Wald + Wind,Borken-Coesfeld,0.0396153645075424,0.0442608125176327,0.5,0.0262547199147475,0.0554159256135968
TR6_konform,Wald + Wind,Lorup,0.0518340234209268,0.0527831423848046,-1.0,0.0146937380165598,0.0658883045694868
TR6_konform,Wald + Wind,Ostfriesland,0.0054999545943656,0.0054999545943656,,0.0409321496664768,0.0464321042608424
TR6_konform,Wald + Wind,Paderborn,0.0398814390529388,0.0464477814146546,-0.361764705882353,0.0726000421396732,0.068493646770262
TR6_konform,Wald + Wind,Rheda-Beckum,0.0148419510276371,0.0165985456870229,1.0,0.0304978809238728,0.0440343493498401
TR6_konform,Vollstaendig,Alpen-Sevelen,0.023970885918308,0.0286899246080174,-0.2277227722772277,0.0307489541306618,0.0457434470707417
TR6_konform,Vollstaendig,Altenmellrich,0.0412033223105447,0.0515139097552893,0.0,0.1011118277512859,0.0618696511042671
TR6_konform,Vollstaendig,Bad Berleburg,0.091481476558703,0.1043209713571668,-0.5952380952380953,0.0590171558030933,0.1417651180728692
TR6_konform,Vollstaendig,Borken-Coesfeld,0.0368727454954677,0.0409124070755736,0.2,0.0262547199147475,0.0516636208745301
TR6_konform,Vollstaendig,Lorup,0.0477285688737847,0.0487430624359989,-1.0,0.0146937380165598,0.061789972963151
TR6_konform,Vollstaendig,Ostfriesland,0.0006011948212969,0.0006011948212969,,0.0409321496664768,0.0403309548451798
TR6_konform,Vollstaendig,Paderborn,0.0386899564337627,0.04336212149167,-0.1911764705882353,0.0726000421396732,0.073149555038464
TR6_konform,Vollstaendig,Rheda-Beckum,0.0117895701370306,0.013850708994877,0.8,0.0304978809238728,0.0409998648979206
