modell,teststandort,merkmal,koeffizient_standardisiert
Distanz + Wind,Bad Berleburg,winddissimilaritaet_log_rms,0.5589418166560608
Distanz + Wind,Borken-Coesfeld,distanz_m,-0.0287489228663863
Distanz + Wind,Borken-Coesfeld,winddissimilaritaet_log_rms,0.4917150102591732
Distanz + Wind,Lorup,distanz_m,-0.0975966974027651
Distanz + Wind,Lorup,winddissimilaritaet_log_rms,0.4411098407542252
Distanz + Wind,Ostfriesland,distanz_m,0.073066486344529
Distanz + Wind,Ostfriesland,winddissimilaritaet_log_rms,0.482492655521995
Distanz + Wind,Paderborn,distanz_m,-0.0901763187808489
Distanz + Wind,Paderborn,winddissimilaritaet_log_rms,0.5241122703489619
Distanz + Wind,Rheda-Beckum,distanz_m,-0.0874001058837245
Distanz + Wind,Rheda-Beckum,winddissimilaritaet_log_rms,0.5289462358066989
RIX + Gelaendehoehe,Alpen-Sevelen,mittlerer_rix_prozent,0.3557379406250999
RIX + Gelaendehoehe,Alpen-Sevelen,gelaendehoehendifferenz_m,0.2905011519940494
RIX + Gelaendehoehe,Altenmellrich,mittlerer_rix_prozent,0.3730156961112341
RIX + Gelaendehoehe,Altenmellrich,gelaendehoehendifferenz_m,0.1481928871798351
RIX + Gelaendehoehe,Bad Berleburg,mittlerer_rix_prozent,0.3981664000741652
RIX + Gelaendehoehe,Bad Berleburg,gelaendehoehendifferenz_m,0.2908072643276082
RIX + Gelaendehoehe,Borken-Coesfeld,mittlerer_rix_prozent,0.3271522303690761
RIX + Gelaendehoehe,Borken-Coesfeld,gelaendehoehendifferenz_m,0.3000898192955956
RIX + Gelaendehoehe,Lorup,mittlerer_rix_prozent,0.3048058043809705
RIX + Gelaendehoehe,Lorup,gelaendehoehendifferenz_m,0.2688402954396099
RIX + Gelaendehoehe,Ostfriesland,mittlerer_rix_prozent,0.3168420828616392
RIX + Gelaendehoehe,Ostfriesland,gelaendehoehendifferenz_m,0.2558266832387297
RIX + Gelaendehoehe,Paderborn,mittlerer_rix_prozent,0.3456546570578023
RIX + Gelaendehoehe,Paderborn,gelaendehoehendifferenz_m,0.3176368309724555
RIX + Gelaendehoehe,Rheda-Beckum,mittlerer_rix_prozent,0.4094373672927687
RIX + Gelaendehoehe,Rheda-Beckum,gelaendehoehendifferenz_m,0.3472831071796779
RIX + Rauigkeit,Alpen-Sevelen,mittlerer_rix_prozent,0.380548519578163
RIX + Rauigkeit,Alpen-Sevelen,rauigkeitsdifferenz_rms_m,0.1016204830730933
RIX + Rauigkeit,Altenmellrich,mittlerer_rix_prozent,0.3841273194454663
RIX + Rauigkeit,Altenmellrich,rauigkeitsdifferenz_rms_m,0.0883238075800215
RIX + Rauigkeit,Bad Berleburg,mittlerer_rix_prozent,1.1581843409288337
RIX + Rauigkeit,Bad Berleburg,rauigkeitsdifferenz_rms_m,-0.3328171708686571
RIX + Rauigkeit,Borken-Coesfeld,mittlerer_rix_prozent,0.3454348443983444
RIX + Rauigkeit,Borken-Coesfeld,rauigkeitsdifferenz_rms_m,0.1398324001050116
RIX + Rauigkeit,Lorup,mittlerer_rix_prozent,0.3099048578919441
RIX + Rauigkeit,Lorup,rauigkeitsdifferenz_rms_m,0.1913435189475835
RIX + Rauigkeit,Ostfriesland,mittlerer_rix_prozent,0.3323113544246802
RIX + Rauigkeit,Ostfriesland,rauigkeitsdifferenz_rms_m,0.1327420398867461
RIX + Rauigkeit,Paderborn,mittlerer_rix_prozent,0.0717361340205509
RIX + Rauigkeit,Paderborn,rauigkeitsdifferenz_rms_m,0.0227049519957894
RIX + Rauigkeit,Rheda-Beckum,mittlerer_rix_prozent,0.4313198682354071
RIX + Rauigkeit,Rheda-Beckum,rauigkeitsdifferenz_rms_m,0.1455764370855899
RIX + Wald,Alpen-Sevelen,mittlerer_rix_prozent,0.356671285744523
